,title,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,price,course_length_weeks,min_effort,max_effort
68,Accounting and Finance,"88,243",Self-paced on your time,Indian Institute of Management Bangalore,MS Narasimhan,Intermediate,Business & Management,English,"English, हिन्दी",150.0,11,2,4
69,Computing in Python I: Fundamentals and Procedural Programming,"141,966",Self-paced on your time,The Georgia Institute of Technology,David Joyner,Introductory,Computer Science,English,English,99.0,5,9,10
70,"Nutrition, Exercise and Sports","51,679",Self-paced on your time,Wageningen University & Research,Dr. Marco Mensink-Rieneke Terink MSc-Pol Grootswagers MSc,Intermediate,Food & Nutrition,English,English,49.0,6,4,8
71,Becoming an Entrepreneur,"104,760",Self-paced on your time,Massachusetts Institute of Technology,Martin Culpepper-Laurie Stach,Introductory,Business & Management,English,English,69.0,6,1,3
72,"Religion, Conflict and Peace","74,060",Self-paced on your time,Harvard University,Diane L. Moore,Introductory,Humanities,English,English,49.0,8,4,8
73,"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You","61,139",Self-paced on your time,Harvard University,Sarah Carter-Ivan Gaskell-Sara Schechner-Laurel Thatcher Ulrich,Introductory,Humanities,English,English,49.0,10,1,3
74,Academic and Business Writing,"322,701",Self-paced on your time,"University of California, Berkeley",Maggie Sokolik,Introductory,Communication,English,English,49.0,6,3,5
75,Data Science: Capstone,"62,803",Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,99.0,2,15,20
76,Basics of Computing and Programming,"37,045",Self-paced on your time,New York University,Itay Tal-Aspen Olmsted,Introductory,Computer Science,English,English,200.0,9,6,8
77,"Fundamentals of Neuroscience, Part 2: Neurons and Networks","84,874",Self-paced on your time,Harvard University,David Cox,Introductory,Biology & Life Sciences,English,English,99.0,6,3,5
78,Successful Negotiation: Essential Strategies and Skills,"31,369",Self-paced on your time,The University of Michigan,George Siedel,Introductory,Business & Management,English,English,49.0,7,2,4
79,Data Science: Linear Regression,"75,310",Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,49.0,8,1,2
80,HTML5 and CSS Fundamentals,"335,895",Self-paced on your time,The World Wide Web Consortium (W3C),Marwa Hussein-Andrew Byrne-Adrian Leven-Gerry O'Brien,Introductory,Computer Science,English,English,199.0,6,4,6
81,Data Science: Productivity Tools,"66,683",Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,49.0,8,1,2
82,Introduction to Corporate Finance,"98,093",Self-paced on your time,Columbia University,Daniel Wolfenzon,Introductory,Business & Management,English,English,225.0,4,3,4
83,Computer Science 101,"39,540",Self-paced on your time,Stanford University,Nick Parlante,Introductory,Computer Science,English,English,149.0,6,4,6
84,Data Science: Wrangling,"64,584",Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,49.0,8,1,2
85,A Hands-on Introduction to Engineering Simulations,"187,138",Self-paced on your time,Cornell University,Rajesh Bhaskaran,Intermediate,Engineering,English,English,199.0,6,4,6
86,AI for Everyone: Master the Basics,"49,340",Self-paced on your time,IBM,Rav Ahuja,Introductory,Computer Science,English,English,49.0,4,1,2
87,The Psychology of Criminal Justice,"110,086",Self-paced on your time,The University of Queensland,Blake McKimmie-Mark Horswill-Barbara Masser,Introductory,Humanities,English,English,99.0,8,1,2
88,Machine Learning with Python: A Practical Introduction,"80,161",Self-paced on your time,IBM,Saeed Aghabozorgi,Introductory,Data Analysis & Statistics,English,English,39.0,5,4,6
89,Analyzing Data with Python,"94,079",Self-paced on your time,IBM,Joseph Santarcangelo,Introductory,Data Analysis & Statistics,English,English,39.0,5,2,4
90,Excel: gestión de datos,"111,785",Self-paced on your time,Universitat Politècnica de Valencia,Jaime Busquets Mataix-Víctor Braquehais Acero,Intermediate,Computer Science,Español,Español,75.0,6,4,6
91,Probability - The Science of Uncertainty and Data,"205,615",Instructor-led on a course schedule,Massachusetts Institute of Technology,John Tsitsiklis-Dimitri Bertsekas-Patrick Jaillet-Karene Chu,Advanced,Data Analysis & Statistics,English,English,300.0,16,10,14
