,title,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,price,course_length_weeks,min_effort,max_effort
502,SQL aplicado en la  ciencia de datos,,Self-paced on your time,IBM,Rav Ahuja,Introductory,Data Analysis & Statistics,Español,Español,39.0,4,2,4
503,Sign Language Science: Factors Contributing to Nature Structure,,Self-paced on your time,Georgetown University,Ted Supalla,Introductory,Language,English,English,99.0,4,3,5
504,Gender and Intersectionality,,Self-paced on your time,The University of Iceland,Giti Chandra-Thomas Brorsen Smidt,Introductory,Humanities,English,English,50.0,6,2,5
505,Digital Transformation in Business,"10,118",Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Henry Lucas-Ritu Agarwal-Anandasivam Gopal-Joseph P. Bailey,Advanced,Business & Management,English,English,214.0,7,8,10
506,Designing and Creating Trousers,"7,544",Self-paced on your time,The Hong Kong Polytechnic University,Tanya Dove-Jalice Cheng-Kristina Shin-Marco Rebora,Introductory,Design,English,English,99.0,5,3,5
507,Introducción a la teoría política: conceptos y grandes pensadores,"11,741",Self-paced on your time,Università degli Studi di Napoli Federico II,Fernando Vallespín,Introductory,Social Sciences,Español,Español,59.0,7,4,6
508,"Human Rights, Human Wrongs: Challenging Poverty, Vulnerability and Social Exclusion","11,426",Self-paced on your time,SDG Academy,Joshua Castellino-Sarah Bradshaw,Intermediate,Social Sciences,English,"English, Русский",49.0,11,2,4
509,Industry 4.0: How to Revolutionize your Business,"28,404",Self-paced on your time,The Hong Kong Polytechnic University,Eric Tsui-Jay Lee-Norbert Gronau-Doug Vogel,Introductory,Business & Management,English,English,50.0,6,6,8
510,Desafíos y oportunidades en la economía digital,"47,792",Self-paced on your time,Inter-American Development Bank,Ana María Rodríguez-Ortiz-Ignacio De León-Miguel Porrúa-María Inés Vasquez Rossi,Introductory,Economics & Finance,Español,Español,25.0,10,2,3
511,Pensamiento crítico: toma de decisiones razonadas,"16,853",Self-paced on your time,Tecnológico de Monterrey,Eduardo Pérez Gorostieta,Introductory,Business & Management,Español,Español,149.0,4,5,8
512,"MathTrackX: Polynomials, Functions and Graphs",,Self-paced on your time,University of Adelaide,Dr Danny Stevenson-Dr David Butler-Dr Brendan Harding-Dr Melissa Humphries,Introductory,Math,English,English,79.0,4,3,6
513,Sustainable Food Security: Crop Production,"35,367",Self-paced on your time,Wageningen University & Research,Ken Giller-​Harrie Lovenstein-Gerrie van de Ven,Intermediate,Biology & Life Sciences,English,English,49.0,6,6,8
514,Network and Security Foundations,"7,301",Self-paced on your time,Western Governors University,Gerri Light-Ryan Whisler,Introductory,Computer Science,English,English,299.7,8,9,10
515,Cannabis Cultivation and Processing,"7,419",Self-paced on your time,Doane University,"Dan Ricker-Jazmin Oliver-Andrea Holmes, PhD",Introductory,Environmental Studies,English,English,179.0,3,5,10
516,"Data, Models and Decisions in Business Analytics","36,289",Instructor-led on a course schedule,Columbia University,,Advanced,Business & Management,English,,249.0,12,8,10
517,Data Structures Fundamentals,"42,381",Self-paced on your time,"The University of California, San Diego",Daniel Kane-Alexander S. Kulikov-Michael Levin-Neil Rhodes,Intermediate,Computer Science,English,English,99.0,6,8,10
518,Shaping Work of the Future,"22,246",Self-paced on your time,Massachusetts Institute of Technology,Thomas Kochan-Barbara Dyer-Elisabeth Reynolds-Inez von Weitershauen,Introductory,Business & Management,English,English,49.0,8,4,5
519,Introducción a la robótica e industria 4.0,"7,056",Self-paced on your time,Universidades Anáhuac,Luis Alberto Muñoz Ubando-David Alberto Sansores Peraza-Daniel Alejandro Sansores Peraza,Introductory,Computer Science,Español,Español,49.0,3,4,5
520,Fighting for Equality: 1950–2018,"9,274",Self-paced on your time,Columbia University,Alice Kessler-Harris-Nick Juravich-Columbia University Center for Teaching and Learning-New-York Historical Society,Intermediate,History,English,English,50.0,10,2,3
521,"Design Thinking: Ideation, Iteration and Communication","14,629",Self-paced on your time,Rochester Institute of Technology,Mike Johansson,Intermediate,Business & Management,English,English,299.0,6,8,12
522,Negotiation Strategies and Styles,,Self-paced on your time,Tecnológico de Monterrey,Luz María Vargas Reguer-Daniel Meade Monteverde,Intermediate,Business & Management,English,English,149.0,4,5,8
523,Crear música con tecnología,"10,961",Self-paced on your time,Berklee College of Music,Loudon Sterns,Introductory,Music,Español,Español,49.0,6,3,5
524,Análisis de datos: Diseño y Visualización de Tableros,"18,368",Self-paced on your time,Delft University of Technology,Felienne Hermans,Intermediate,Computer Science,Español,"English, Español",49.0,8,4,6
525,Comunicación estratégica: gestión de crisis e imagen pública,"7,017",Self-paced on your time,Pontificia Universidad Javeriana,Andrés Ricardo Quintero,Introductory,Communication,Español,Español,49.0,4,2,4
526,"Understanding Agribusiness, Value Chains, and Consumers in Global Food Systems","14,052",Self-paced on your time,University of Adelaide,Professor Wendy Umberger-Elizabeth Gunner-Craig Johns-Dr. Alexandra Peralta,Intermediate,Business & Management,English,English,199.0,4,2,3
527,Unlocking Information Security: Part II,"6,426",Self-paced on your time,IsraelX-Tel Aviv University,Avishai Wool-Dan Gittik,Intermediate,Computer Science,English,"اللغة العربية, English, עברית",149.0,6,4,6
528,Human Rights Defenders,"27,338",Self-paced on your time,Amnesty International,Amnesty International,Introductory,Social Sciences,English,English,49.0,4,4,5
529,Product Design: The Delft Design Approach,"87,539",Self-paced on your time,Delft University of Technology,Annemiek van Boeijen-Jaap J.J. Daalhuizen,Intermediate,Business & Management,English,English,79.0,7,6,8
530,Introduction to Psychology | 心理学概论,"30,731",Self-paced on your time,Tsinghua University,Kaiping Peng,Introductory,Philosophy & Ethics,中文,English,139.0,13,3,5
531,Circuits and Electronics 3: Applications,"9,347",Self-paced on your time,Massachusetts Institute of Technology,Anant Agarwal-Gerald Sussman-Piotr Mitros-Chris Terman,Intermediate,Electronics,English,"English, 中文",169.0,7,8,10
532,Vaccines: from smallpox to technologies of the future,"6,166",Self-paced on your time,KU Leuven University,Johan Neyts-Corinne Vandermeulen-Steven Van Gucht-Marta Romano,Intermediate,Medicine,English,English,49.0,6,3,5
533,Le management,"6,273",Self-paced on your time,HEC Montréal,Gilles Cazabon,Introductory,Business & Management,Français,Français,149.0,5,2,3
534,Circular Economy for a Sustainable Built Environment,"8,032",Self-paced on your time,Delft University of Technology,Tillmann Klein-Marcel Bilow-Arnout Sabbe-Mo Smit,Intermediate,Architecture,English,English,50.0,6,3,5
535,Agile Innovation and Problem Solving Skills,"12,667",Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",John Johnson,Advanced,Engineering,English,English,199.0,4,2,3
536,International Investment Law,"23,335",Instructor-led on a course schedule,Université catholique de Louvain,Yannick Radi,Advanced,Law,English,English,150.0,10,6,8
537,Animation and CGI Motion,"36,827",Instructor-led on a course schedule,Columbia University,Eitan Grinspun,Advanced,Computer Science,English,English,249.0,12,8,10
538,Terrorism and Counterterrorism,"28,580",Self-paced on your time,Georgetown University,Daniel Byman-Christine Fair-Bruce Hoffman-Paul Pillar,Introductory,Humanities,English,English,49.0,7,8,10
539,Découvrir le marketing,"30,030",Instructor-led on a course schedule,Université catholique de Louvain,Chantal de Moerloose-Claude Pecheux-Anne-Laure Bartier,Intermediate,Business & Management,Français,Français,150.0,10,3,5
540,Solar Energy: Photovoltaic (PV) Energy Conversion,"38,041",Instructor-led on a course schedule,Delft University of Technology,Arno Smets-Miro Zeman-René van Swaaij,Advanced,Engineering,English,English,250.0,12,10,11
541,Introduction to Actuarial Science,"52,667",Self-paced on your time,Australian National University,Adam Butt,Introductory,Data Analysis & Statistics,English,English,49.0,8,2,4
542,PredictionX: Lost Without Longitude,"9,114",Self-paced on your time,Harvard University,Alyssa Goodman,Introductory,History,English,English,49.0,1,2,5
543,Information Technology Foundations,"6,388",Self-paced on your time,Western Governors University,Gerri Light-Ryan Whisler,Introductory,Computer Science,English,English,399.6,6,9,10
544,Introducción a la Inteligencia Artificial de Watson,,Self-paced on your time,IBM,Rav Ahuja,Introductory,Computer Science,Español,Español,49.0,8,4,8
545,Dealing with Power and Dynamics: Discover Your Leadership Style and Influence Stakeholders,"16,013",Self-paced on your time,Delft University of Technology,Hans de Bruijn-Gerdien de Vries,Intermediate,Business & Management,English,English,125.0,5,4,5
546,Instructional Design and Technology: Learning Theories,"21,296",Instructor-led on a course schedule,University System of Maryland-University of Maryland Global Campus,Randy Hansen,Intermediate,Education & Teacher Training,English,English,299.0,8,8,10
547,"Algorithms: Design and Analysis, Part 2",,Self-paced on your time,Stanford University,Tim Roughgarden,Intermediate,Computer Science,English,English,149.0,6,2,4
548,The Math of Data Science: Linear Algebra,"6,746",Self-paced on your time,Rice University,Stephen Wang,Intermediate,Math,English,English,159.0,8,6,8
549,Introducción al quirófano,,Self-paced on your time,Universidades Anáhuac,Fernando Azcoitia Moraila,Intermediate,Medicine,Español,Español,49.0,6,3,4
550,The Hardware of a Quantum Computer,"20,052",Self-paced on your time,Delft University of Technology,Lieven Vandersypen-Menno Veldhorst-Koen Bertels-Leo Di Carlo,Intermediate,Physics,English,English,79.0,6,6,8
551,Grabar y mezclar música,"10,856",Self-paced on your time,Berklee College of Music,Peter Bell,Introductory,Music,Español,Español,49.0,4,3,5
552,Leadership focused on Human Flourishing,,Self-paced on your time,Tecnológico de Monterrey,Santiago José Vázquez Blanco,Intermediate,Business & Management,English,English,149.0,4,5,8
553,Automata Theory,,Self-paced on your time,Stanford University,Jeffrey D. Ullman,Advanced,Computer Science,English,English,129.0,7,5,10
554,¡Conceptos básicos de Python para Data Science!,,Self-paced on your time,IBM,Joseph Santarcangelo,Introductory,Data Analysis & Statistics,Español,Español,49.0,5,2,5
555,Herramientas para el Análisis de Big Data,"8,118",Self-paced on your time,Tecnológico de Monterrey,Jesús Aguilar,Intermediate,Data Analysis & Statistics,Español,Español,49.0,4,3,5
556,Foundations of Central Bank Law,"6,169",Self-paced on your time,The International Monetary Fund,Wouter Bossu-Hans Weenink-Catalina Margulis-Jess Cheng,Intermediate,Law,English,English,25.0,6,2,6
557,C Programming: Modular Programming and Memory Management,"18,690",Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Petra Bonfert-Taylor-Rémi Sharrock,Introductory,Computer Science,English,English,49.0,7,2,4
558,Enseñanza temprana de matemáticas y ciencias,"8,250",Self-paced on your time,Inter-American Development Bank,Rosangela Bando-Emma Naslund-Hadley,Introductory,Education & Teacher Training,Español,Español,25.0,10,1,2
559,Entrepreneurship 102: What can you do for your customer?,"11,275",Self-paced on your time,Massachusetts Institute of Technology,Bill Aulet-Erdin Beshimov,Introductory,Business & Management,English,English,49.0,10,2,4
560,Italian Language and Culture: Advanced (2019-2020),"24,667",Self-paced on your time,Wellesley College,Daniela Bartalesi-Graf,Advanced,Language,Italiano,Italiano,49.0,12,3,5
561,Introduction to Marketing,,Self-paced on your time,The University of Edinburgh,Ewelina Lacka-Malcolm Kirkup-Asanka de Silva-Antonia Gieschen,Introductory,Business & Management,English,English,149.0,6,2,3
562,Origins of the Human Mind,"11,812",Self-paced on your time,Kyoto University,Tetsuro Matsuzawa,Introductory,Science,English,English,49.0,5,2,3
563,Introduction to Geometry,"61,824",Self-paced on your time,SchoolYourself,Zach Wissner-Gross-John Lee-Vivek Venkatachalam-Kenny Peng,Introductory,Math,English,English,50.0,14,4,6
564,The Future of Work: Preparing for Disruption,"43,125",Self-paced on your time,World Bank Group,Federica Saliola-Aart Kraay-Truman G. Packard-Shwetlena Sabarwal,Introductory,Economics & Finance,English,"اللغة العربية, English, Español, Français, Русский, 中文",5.0,5,3,5
565,Clinical Reasoning Process,"5,367",Self-paced on your time,Université de Montréal,Nathalie Caire Fon,Introductory,Medicine,English,English,149.0,6,2,4
566,Datos para la efectividad de las políticas públicas,"80,425",Self-paced on your time,Inter-American Development Bank,Ivette Fis de Melo-Norma Palomino,Introductory,Data Analysis & Statistics,Español,Español,25.0,10,4,5
567,Media Law,"7,253",Instructor-led on a course schedule,New York University,Beth Rosenberg-Erik Dykema,Introductory,Art & Culture,English,English,249.0,14,8,10
568,Líderes para la Gestión en Seguridad Ciudadana y Justicia,"12,826",Self-paced on your time,Inter-American Development Bank,Olga Espinoza-Eduardo Pazinato-Alejandra Mera-Hung-En Sung,Intermediate,Social Sciences,Español,Español,25.0,10,4,5
569,"Diseña, fabrica y programa tu propio robot","25,024",Self-paced on your time,Universitat Politècnica de Valencia,Leopoldo Armesto Ángel,Introductory,Engineering,Español,Español,75.0,6,8,10
570,Pivoting to Online Teaching: Research and Practitioner Perspectives,"5,289",Self-paced on your time,University of Texas at Arlington,George Siemens-Justin Dellinger-Matt Crosslin-Tanya Joosten,Introductory,Education & Teacher Training,English,English,139.0,6,3,5
571,Circular Economy: An Interdisciplinary Approach,"10,281",Self-paced on your time,Wageningen University & Research,Emiel Wubben-Alistair Beames-Gert Jan Hofstede-Dr. Kim Poldner,Advanced,Business & Management,English,English,149.0,6,16,24
572,Calculus 1B: Integration,"44,669",Instructor-led on a course schedule,Massachusetts Institute of Technology,David Jerison-Gigliola Staffilani-Jennifer French-Karene Chu,Intermediate,Math,English,English,100.0,15,6,10
573,Algorithmic Design and Techniques,"40,620",Self-paced on your time,"The University of California, San Diego",Pavel Pevzner-Daniel Kane-Alexander S. Kulikov-Michael Levin,Intermediate,Computer Science,English,English,99.0,6,8,10
574,Drinking Water Treatment,"51,918",Self-paced on your time,Delft University of Technology,Luuk Rietveld-Doris van Halem,Intermediate,Engineering,English,English,50.0,7,6,8
575,Fundamentos de información financiera y contable,"7,789",Self-paced on your time,Universidades Anáhuac,Laura Avila Rodríguez-Lourdes Rojas Cataño,Intermediate,Economics & Finance,Español,Español,49.0,5,5,7
576,Les principes de la finance,"44,037",Self-paced on your time,Université catholique de Louvain,Catherine D'Hondt-Isabelle Platten,Intermediate,Business & Management,Français,Français,150.0,13,4,7
577,Music Technology Foundations,"34,550",Self-paced on your time,University of Adelaide,Luke Harrald-Christian Haines-Stephen Whittington,Introductory,Computer Science,English,English,169.0,6,2,3
578,The Entrepreneurial Mindset,"31,077",Self-paced on your time,Babson College,Dennis J. Ceru,Introductory,Business & Management,English,English,149.0,6,4,6
579,"Anatomy: Gastrointestinal, Reproductive and Endocrine Systems","26,453",Self-paced on your time,The University of Michigan,Kathleen Alsup-Glenn M. Fox-Kelli A. Sullivan,Introductory,Biology & Life Sciences,English,English,49.0,5,2,3
580,Risk Management and Credit Principles,"9,028",Self-paced on your time,NYIF,Tracy Williams,Advanced,Economics & Finance,English,English,199.0,6,2,3
581,Steps in Japanese for Beginners1 Part3,"6,169",Self-paced on your time,Waseda University,Naoko Kinoshita-Kaori Sano-Yukiyo HAMAKAWA,Introductory,Language,English,English,99.0,5,3,5
582,Structural Materials: Selection and Economics,"9,752",Self-paced on your time,Massachusetts Institute of Technology,Thomas Eagar-Jessica Sandland,Introductory,Engineering,English,English,50.0,3,2,3
583,Algorithm Design and Analysis,"39,137",Self-paced on your time,University of Pennsylvania,Sampath Kannan,Intermediate,Computer Science,English,English,149.0,4,6,8
584,Estructuras de Datos con Python,,Self-paced on your time,The University of Michigan,Charles Severance,Introductory,Computer Science,Español,Español,49.0,7,2,4
585,Mandarin Chinese for Business,"12,384",Self-paced on your time,MandarinX,Estella Chen,Intermediate,Language,English,English,149.0,6,4,10
586,Bases Matemáticas: Números y terminología,"26,060",Self-paced on your time,Universitat Politècnica de Valencia,Antonio José Guirao Sánchez-Santiago Moll López,Intermediate,Math,Español,Español,50.0,4,3,4
587,Arab-Islamic History: From Tribes to Empires,"17,321",Self-paced on your time,IsraelX-Tel Aviv University,Miri Shefer-Mossensohn,Introductory,Humanities,English,English,149.0,8,3,4
588,Human-Computer Interaction I: Fundamentals & Design Principles,"9,010",Self-paced on your time,The Georgia Institute of Technology,David Joyner,Introductory,Computer Science,English,English,99.0,6,5,6
589,Modeling and simulation of multibody systems,,Instructor-led on a course schedule,Université catholique de Louvain,Paul Fisette-Maxime Raison,Intermediate,Engineering,English,English,50.0,14,10,11
590,The Science of Parenting,"37,538",Self-paced on your time,"The University of California, San Diego",David Barner,Introductory,Social Sciences,English,English,49.0,5,3,5
591,Inclusive Teaching: Supporting All Students in the College Classroom,"9,899",Self-paced on your time,Columbia University,Columbia University Center for Teaching and Learning-Amanda M. Jungels-Chandani Patel-Amanda Irvin,Introductory,Education & Teacher Training,English,English,49.0,6,2,3
592,Analytics for Decision Making,"31,031",Self-paced on your time,Babson College,Rick Cleary-Nathan Karst-Davit Khachatryan-George Recck,Introductory,Business & Management,English,English,249.0,4,4,6
593,Principios de Análisis e Instrumentos Financieros,,Self-paced on your time,Universidades Anáhuac,Ricardo Cristhian Morales Pelagio-Joel Álvarez Bautista,Intermediate,Economics & Finance,Español,Español,49.0,5,5,7
594,Energy Principles and Renewable Energy,"19,520",Instructor-led on a course schedule,The University of Queensland,Simon Smart,Advanced,Energy & Earth Sciences,English,English,375.0,14,10,12
595,DNA: Biology’s Genetic Code,"35,162",Self-paced on your time,Rice University,Elizabeth Eich-Daniel J. Catanese,Intermediate,Biology & Life Sciences,English,English,169.0,6,4,6
596,Music For Wellness,"19,728",Self-paced on your time,Berklee College of Music,Suzanne Hanser-Annette Philip,Introductory,Humanities,English,English,49.0,4,3,5
597,Mining Massive Datasets,"5,311",Self-paced on your time,Stanford University,Jeffrey D. Ullman-Jure Leskovec-Anand Rajaraman,Advanced,Computer Science,English,English,149.0,7,5,10
598,Introduction to Electrical and Electronic Engineering - 電気電子工学入門 -,"25,041",Self-paced on your time,Tokyo Institute of Technology,Akira Chiba-Akira Matsuzawa-Shinsuke Miyajima-Ayaka Saito,Introductory,Engineering,English,"English, 日本語",50.0,4,2,3
599,A travel by Spanish America: Spanish for beginners,,Self-paced on your time,Universidad del Rosario,Diana Alejandra Hincapié Moreno-María Liliana Labrador Morales-Diana Rocío Umaña Buitrago,Introductory,Language,Español,Español,49.0,4,4,6
600,Introducción a la Inteligencia Artificial,"11,184",Self-paced on your time,Universidades Anáhuac,Román Alberto Zamarripa Franco,Introductory,Computer Science,Español,Español,49.0,4,4,5
601,Introducción a la Inteligencia Artificial: Principales Algoritmos,,Self-paced on your time,Universidad Galileo,Jorge Samayoa-Eduardo Corpeño-Preng Biba-Julio Fajardo,Introductory,Computer Science,Español,Español,49.0,4,4,5
602,Digital Security and Human Rights,"11,443",Self-paced on your time,Amnesty International,Amnesty International,Introductory,Social Sciences,English,English,49.0,3,1,2
603,Critical thinking: reasoned decision making,"6,923",Self-paced on your time,Tecnológico de Monterrey,Eduardo Pérez Gorostieta,Introductory,Business & Management,English,English,149.0,4,5,8
604,Introduction to the Internet of Things,"7,581",Self-paced on your time,Universitat Politècnica de Valencia,Leopoldo Armesto Ángel,Introductory,Electronics,English,English,50.0,6,5,6
605,Trading - Fundamentals of Technical Analysis,,Self-paced on your time,NYIF,Michael Carr,Introductory,Economics & Finance,English,English,199.0,6,2,3
606,Riñones: conoce sus funciones para mejorar tu salud y calidad de vida,"20,261",Self-paced on your time,Universidad Autónoma de Madrid,Alberto Ortiz Arduan-María Dolores Sánchez Niño-María Vanessa Pérez Gómez,Introductory,Medicine,Español,Español,49.0,6,3,5
607,Design Thinking: Empathizing to Understand the Problem,"13,340",Self-paced on your time,Rochester Institute of Technology,Jennifer Englert,Intermediate,Business & Management,English,English,299.0,6,8,12
608,Storytelling in the Workplace,,Self-paced on your time,Rochester Institute of Technology,Ammina Kothari,Introductory,Communication,English,English,199.0,3,4,6
609,Marketing Analytics: Price and Promotion Analytics,"41,021",Self-paced on your time,"University of California, Berkeley",Stephan Sorger,Intermediate,Computer Science,English,English,249.0,4,5,7
610,Implementation of Data Structures,"27,761",Self-paced on your time,IITBombay,Deepak B. Phatak-Nagesh Karmali-Ajit Diwan-Ganesh Ramakrishnan,Intermediate,Computer Science,English,English,149.0,6,6,8
611,Activism and Citizen Journalism through Media,"7,460",Self-paced on your time,Wits University,Paul McNally-Boikaego Seadira-Susan Stos-Zandile Mashaba,Introductory,Communication,English,English,49.0,4,2,3
612,Electric and Conventional Vehicles,"22,089",Instructor-led on a course schedule,Chalmers University of Technology,Sven Andersson-Anders Grauers,Advanced,Engineering,English,English,249.0,6,10,20
613,Big Data Fundamentals,"40,106",Self-paced on your time,University of Adelaide,Frank Neumann-Vahid Roostapour-Aneta Neumann-Wanru (Kelly) Gao,Intermediate,Computer Science,English,English,199.0,10,8,10
614,Sustainable Food Security: The value of systems thinking,"26,600",Self-paced on your time,Wageningen University & Research,Gerrie van de Ven-I.J.M. de Boer-Carolien Kroeze-Eddie Bokkers,Introductory,Biology & Life Sciences,English,English,49.0,6,8,10
615,Knowledge Management and Big Data in Business,"69,064",Self-paced on your time,The Hong Kong Polytechnic University,W.B. Lee-Klaus Tochtermann-Usama Fayyad-Eric Tsui,Introductory,Business & Management,English,English,50.0,8,6,8
616,Uso efectivo del tiempo,"6,409",Self-paced on your time,Pontificia Universidad Javeriana,Alvaro Figueroa Cabrera,Introductory,Economics & Finance,Español,Español,49.0,6,6,8
617,C Programming: Pointers and Memory Management,"19,171",Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Petra Bonfert-Taylor-Rémi Sharrock,Introductory,Computer Science,English,English,49.0,7,2,4
618,Astrophysics: The Violent Universe,"65,711",Self-paced on your time,Australian National University,Brian Schmidt-Paul Francis,Intermediate,Physics,English,English,50.0,10,2,4
619,Landscape Ecology,"8,644",Self-paced on your time,ETH Zurich,Felix Kienast-Gregor Martius-Janet Silbernagel-Sima Fakheran,Intermediate,Environmental Studies,English,English,50.0,14,2,4
620,IoT Programming and Big Data,"21,591",Self-paced on your time,Curtin University,Iain Murray AM,Introductory,Computer Science,English,English,199.0,5,4,6
621,AWS: Getting Started with Cloud Security,"8,192",Self-paced on your time,Amazon Web Services,Rudy Chetty-Hong Pham,Introductory,Computer Science,English,English,49.0,4,2,4
622,Introducción a la gravedad cuántica de lazos,"7,360",Self-paced on your time,Universidad Nacional de Córdoba,Jorge Pullin,Introductory,Science,Español,"English, Español",50.0,5,5,7
623,Introduction to the Music Business,"46,607",Self-paced on your time,Berklee College of Music,John P. Kellogg,Introductory,Business & Management,English,English,49.0,6,2,4
624,Introducción a la programación en C: Tipos de datos y estructuras,"13,480",Self-paced on your time,Universidad Autónoma de Madrid,Germán Montoro Manrique-Alejandro Sierra Urrecho,Introductory,Computer Science,Español,Español,49.0,4,2,4
625,Visualización de Datos y Storytelling,"5,980",Self-paced on your time,Tecnológico de Monterrey,Jesús Aguilar,Intermediate,Data Analysis & Statistics,Español,Español,49.0,4,3,5
626,Negociación exitosa: Estrategias y habilidades esenciales (en español),,Self-paced on your time,The University of Michigan,George Siedel,Introductory,Business & Management,Español,Español,49.0,7,2,4
627,"Feeding a Hungry Planet: Agriculture, Nutrition and Sustainability","10,488",Self-paced on your time,SDG Academy,Achim Dobermann-Ken Giller-Jessica Fanzo-Upmanu Lall,Intermediate,Environmental Studies,English,"English, Русский",49.0,7,3,5
628,Macroeconomics - The Basics,,Self-paced on your time,Doane University,"Arinna Butler Roxa, MBA",Introductory,Economics & Finance,English,English,79.0,8,10,18
629,Fundamentals of Financial Mathematics and Capital Budgeting,"5,410",Self-paced on your time,NYIF,Douglas Carroll,Introductory,Economics & Finance,English,English,99.0,4,1,2
630,Gestión participativa: motivación y liderazgo organizacional,"23,441",Self-paced on your time,Universitat Politècnica de Valencia,Juan A. Marin-García-Cristina Santandreu Mascarell-Amable Juárez Tárrega,Intermediate,Business & Management,Español,Español,79.0,8,3,4
631,Herramientas de ciencia de datos: uso práctico,,Self-paced on your time,IBM,Romeo Kienzler-Svetlana Levitan-Maureen McElaney,Introductory,Data Analysis & Statistics,Español,Español,39.0,7,3,7
632,Bienestar para el desarrollo personal y profesional,,Self-paced on your time,Universidades Anáhuac,J. Armando Barriguete Meléndez-Adriana Viladoms Portugal,Intermediate,Health & Safety,Español,"English, Español",29.0,5,5,7
633,Energía eléctrica: conceptos y principios básicos,"9,762",Self-paced on your time,Tecnológico de Monterrey,Manuel Macías García-Rodolfo Anaya Zamora-Cornelio Contreras Hinojosa,Intermediate,Engineering,Español,Español,49.0,7,4,5
634,Market Segmentation Analysis,"17,055",Self-paced on your time,The University of Queensland,Sara Dolnicar-Bettina Grün-Friedrich Leisch,Intermediate,Business & Management,English,English,99.0,5,6,8
635,Pensamento crítico: tomada de decisões fundamentadas,,Self-paced on your time,Tecnológico de Monterrey,Eduardo Pérez Gorostieta,Introductory,Business & Management,Português,Português,149.0,4,5,8
636,AP® English Literature & Composition – Part 2: Poems,"5,719",Self-paced on your time,"University of California, Berkeley",Maggie Sokolik,Introductory,Humanities,English,English,49.0,7,4,5
637,"Electrical, Optical & Magnetic Materials and Devices","16,905",Self-paced on your time,Massachusetts Institute of Technology,Caroline Ross-Jessica Sandland,Intermediate,Engineering,English,English,150.0,16,8,12
638,Advanced Cardiac Imaging: Cardiac Computed Tomography (CT),,Self-paced on your time,University of Hong Kong,Dr. Ming-Yen Ng-Dr. Varut Vince Vardhanabhuti-Guest speaker: Dr. Suhny Abbara-Guest speaker:  Dr. Ed Nicol,Introductory,Medicine,English,"English, Français, 中文, 中文",99.0,4,2,3
639,How to Design a Successful Business Model,"33,656",Self-paced on your time,Delft University of Technology,Harry Bouwman-Mark de Reuver-Timber Haaker,Introductory,Business & Management,English,"Deutsch, English, Español, Français",99.0,8,2,4
640,Ecodesign for Cities and Suburbs,"28,472",Self-paced on your time,University of British Columbia,Jonathan Barnett-Larry Beasley,Introductory,Environmental Studies,English,,99.0,6,4,5
641,Agile Software Development,"37,158",Self-paced on your time,ETH Zurich,Bertrand Meyer,Introductory,Computer Science,English,English,50.0,6,2,3
642,Diseño de sistemas de información gerencial para intranet con Microsoft Access,"9,144",Self-paced on your time,Universidad del Rosario,Claudia Alejandra Castillo Chavarro-Juan Manuel Sánchez Barrero,Intermediate,Computer Science,Español,Español,49.0,4,6,10
643,Essentials of Program Strategy and Evaluation,,Self-paced on your time,Stanford University,Paul Brest,Introductory,Philanthropy,English,English,50.0,4,5,10
644,Gestão de Projetos de Desenvolvimento,"28,337",Self-paced on your time,Inter-American Development Bank,Luiz Claudio Faria-Vanessa Sayos del Castillo-Ernesto Mondelo,Introductory,Business & Management,Português,Português,49.0,10,3,4
645,Innovation: From Plan to Product,"12,918",Self-paced on your time,The University of Queensland,Tim Kastelle-Anna Jenkins-John Steen,Intermediate,Business & Management,English,English,249.0,10,8,10
646,Introduction to Database Queries,,Self-paced on your time,New York University,Aspen Olmsted,Introductory,Computer Science,English,English,166.0,5,6,8
647,Climate Change: Carbon Capture and Storage,"10,551",Self-paced on your time,The University of Edinburgh,Mathieu Lucquiaud-Mark Wilkinson-MennatAllah Labib,Introductory,Engineering,English,English,49.0,5,2,3
648,Reservoir Geomechanics,"5,280",Self-paced on your time,Stanford University,Mark D. Zoback,Introductory,Energy & Earth Sciences,English,English,129.0,10,3,6
649,Fundamentos de administración estratégica,,Self-paced on your time,Universidades Anáhuac,Gregorio Barcala Rubio-Mauricio De Anda Hernández,Intermediate,Business & Management,Español,Español,49.0,5,5,7
650,IoT System Architecture: Design and Evaluation,"5,914",Self-paced on your time,Waseda University,Hironori Washizaki-Kenji Tei,Introductory,Computer Science,English,English,99.0,3,3,5
651,Noongar Language and Culture,"10,858",Self-paced on your time,Curtin University,Marion Kickett-Simon Forrest,Introductory,Language,English,English,139.0,6,2,3
652,Sorting Truth From Fiction: Civic Online Reasoning,,Instructor-led on a course schedule,Massachusetts Institute of Technology,Justin Reich-Sam Wineburg,Introductory,Education & Teacher Training,English,English,49.0,4,2,4
653,Sustainable Food Security: Food Access,"18,943",Self-paced on your time,Wageningen University & Research,Marrit van den Berg-Hilde Bras-Jeroen Candel-Jessica Duncan,Introductory,Social Sciences,English,English,49.0,6,6,8
